id,value
"Anderson, Alan",1.3
"Bogdanovic, Bojan",6.1
"Bogdanovic, Bojan",0.9
"Brown, Markel",3.4
"Young, Thaddeus",1.1
"Williams, Deron",2.6
"Jack, Jarrett",6.1
"Plumlee, Mason",2.1
"Morris, Darius",7.3
"Ellington, Wayne",19.8
"Lin, Jeremy",4.7
"Lin, Jeremy",1.8
"Hill, Jordan",5.4
"Green, Willie",4.4
"Smart, Marcus",5.3
"Young, James",5.6
"Jerebko, Jonas",5.4
"Crowder, Jae",5.1
"Thomas, Isaiah",11.1
"Brooks, Aaron",3.5
"Hinrich, Kirk",4
"Gibson, Taj",5.4
"Hinrich, Kirk",3.7
"Gibson, Taj",5.1
"Butler, Jimmy",3.6
"Noah, Joakim",6
"Brooks, Aaron",0.7
"Harris, Devin",3.5
"Barea, Jose Juan",4.5
"Barea, Jose Juan",3.5
"Barea, Jose Juan",2.4
"Augustin, D.J.",10.2
"Augustin, D.J.",3.4
"Augustin, D.J.",2.4
"Augustin, D.J.",1.8
"Drummond, Andre",4.9
"Augustin, D.J.",4.8
"Drummond, Andre",3.3
"Lucas III, John",3
"Dinwiddie, Spencer",6.7
"Jerebko, Jonas",3.6
"Miles, CJ",11.3
"Hill, George",7.2
"Watson, CJ",2.5
"Watson, CJ",1.9
"Watson, CJ",4.3
"Whittington, Shayne",2.4
"Watson, CJ",9.1
"West, David",3.2
"Watson, CJ",1.9
"Hill, Solomon",4.6
"Watson, CJ",2.3
"Hill, George",4.3
"Hill, George",3.2
"Hill, George",3.6
"Frazier, Tim",4.7
"Noel, Nerlens",6.8
"Grant, Jerami",5.5
"Frazier, Tim",4
"Sampson, JaKarr",5
"Frazier, Tim",3.4
"Frazier, Tim",5.2
"Mbah a Moute, Luc",5.8
"Grant, Jerami",11.6
"Frazier, Tim",2.7
"Noel, Nerlens",5.6
"Frazier, Tim",5.3
"Wall, John",5.8
"Wall, John",2
"Gortat, Marcin",8.7
"Temple, Garrett",9.2
"Pierce, Paul",10.6
"Wall, John",4.8
"Wall, John",4.4
"Humphries, Kris",4.6
"Temple, Garrett",3.5
"Butler, Rasual",2.5
"Temple, Garrett",4.2
"Porter, Otto",10.7
"Wall, John",4.8
"Wall, John",9
"Wall, John",3.9
"Humphries, Kris",2.8
"Wall, John",12.8
"Wall, John",4.4
Nene,8
"Wall, John",1.8
"Humphries, Kris",4.3
"Temple, Garrett",5.7
"Gortat, Marcin",3.7
"Gallinari, Danilo",3.1
"Nurkic, Jusuf",9.5
"Lawson, Ty",5.7
"Hickson, JJ",0.6
"Lawson, Ty",7.8
"Hickson, JJ",5.4
"Lawson, Ty",4.6
"Parker, Tony",6.3
"Parker, Tony",3.8
"Mills, Patty",5.9
"Duncan, Tim",7
"Parker, Tony",3.5
"Parker, Tony",2
"Ginobili, Manu",5.1
"Mills, Patty",3.2
"Parker, Tony",4.4
"Parker, Tony",3.2
"Mills, Patty",11
"Galloway, Langston",6.3
"Amundson, Lou",4.1
"Galloway, Langston",5.9
"Smith, Jason",7
"Galloway, Langston",5.3
"Galloway, Langston",3.7
"Galloway, Langston",0.8
"Smith, Jason",13
"Galloway, Langston",5
"Irving, Kyrie",7.9
"Irving, Kyrie",8.7
"Thompson, Tristan",3.3
"Miller, Mike",8.1
"Ennis, James",7.8
"Haslem, Udonis",3.3
"Williams, Mo",2.9
"Williams, Mo",5.1
"Young, Thaddeus",0.8
"Williams, Mo",12.2
"Williams, Mo",9.3
"Young, Thaddeus",6.3
"Williams, Mo",4
"Williams, Mo",7.8
"Young, Thaddeus",2.6
"LaVine, Zach",6.2
"LaVine, Zach",5.3
"Daniels, Troy",2.7
"Hibbert, Roy",1.6
"Watson, CJ",2.4
"West, David",5.8
"Mahinmi, Ian",4.5
"Sloan, Donald",3.2
"Sloan, Donald",13
